"","Metab","Nobs","Beta","SE","P","Model","P_fdr"
"194","C8_QI10837",7627,-0.0185292501750459,0.00978876807754068,0.0584327352004774,"lmer",0.322410918533768
"195","C8_QI1410",7627,-0.0156344909160734,0.00904559905372133,0.0839834656806622,"lmer",0.332420406093621
"196","C8_QI1471",7627,-0.00349906188929774,0.0092408601433364,0.704964827262445,"lmer",0.867069038878943
"197","C8_QI10726",7627,-0.00588577017025338,0.009803460129515,0.548285102261698,"lmer",0.772819918730157
"198","C8_QI1514",7627,-0.000344605645742509,0.0088408363690109,0.968908952659746,"lmer",0.986057783680272
"199","C8_QI10722",7627,-0.0114895205440612,0.00894409998895585,0.199000350221817,"lmer",0.526606873317268
"200","C8_QI1560",7627,-0.0130276982877913,0.00870323800626336,0.134494384390222,"lmer",0.429634839024319
"201","C8_QI10686",7627,0.00946831813639588,0.00927213595965391,0.307233949728973,"lmer",0.620541778358251
"202","C8_QI10680",7627,-0.0137460093503581,0.00859344616322716,0.109759103806298,"lmer",0.388093154845261
"203","C8_QI1567",7627,-0.00694186737225383,0.00885419503070294,0.433069596616967,"lmer",0.711471480156446
"204","C8_QI10448",7627,-0.00835172306553159,0.00922958012186658,0.365573677695623,"lmer",0.678080208628979
"205","C8_QI10423",7627,-0.00238616260881931,0.00841630578181436,0.776793906443831,"lmer",0.916218453754263
"206","C8_QI1817",7627,-0.0056284538381468,0.00876351912643065,0.520737494007426,"lmer",0.760099952345233
"207","C8_QI10392",7627,-0.00222449019573395,0.00935549193515323,0.812067349163608,"lmer",0.925772908329338
"208","C8_QI1950",7627,-0.0083162298518395,0.00965465845125576,0.389079777658478,"lmer",0.68637777747583
"209","C8_QI10256",7627,-0.00276797527123274,0.00934707271374464,0.767142045162831,"lmer",0.909498300966243
"210","C8_QI1958",7627,-0.00568112220304685,0.00955860620247487,0.552309903589641,"lmer",0.772819918730157
"211","C8_QI1990",7627,-0.0110501232579187,0.00967048262057677,0.253238214158512,"lmer",0.58756136445633
"212","C8_QI10254",7627,-0.00377260007063443,0.00908701859995353,0.678041609929059,"lmer",0.866677702038467
"213","C8_QI2028",7627,-0.0100500478337378,0.00928090049417767,0.278921409826149,"lmer",0.597235125823481
"214","C8_QI2157",7627,-0.00439784445355938,0.00899696805353394,0.62499674771587,"lmer",0.827385151682105
"215","C8_QI2158",7627,-0.0105034662357388,0.00925898936262548,0.256683230316801,"lmer",0.58756136445633
"216","C8_QI10083",7627,-0.00631213316298164,0.00935463183447972,0.499862148184588,"lmer",0.753346672746517
"217","C8_QI9990",7627,-0.0124232126340305,0.00908390818759664,0.171503037167232,"lmer",0.486983932697078
"218","C8_QI9619",7627,-0.01759351914752,0.00931072956570144,0.0588750372974707,"lmer",0.322410918533768
"219","C8_QI2685",7624,-0.0074628679455371,0.00857980424966671,0.384445728941098,"lmer",0.68637777747583
"220","C8_QI9453",7627,-0.0174464135018128,0.00934197469813837,0.0618917246069065,"lmer",0.331048759525314
